Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
2016*,Ohio State,Big Ten,FR,QB,6,22,28,78.6,226,2,7.1,0,0.0,8.1,9.50,10.3,37.7,169.9,
2017*,Ohio State,Big Ten,SO,QB,5,7,11,63.6,61,0,0.0,0,0.0,5.5,5.55,8.7,12.2,110.2,
2018*,LSU,SEC,JR,QB,13,219,379,57.8,2894,16,4.2,5,1.3,7.6,7.89,13.2,222.6,133.2,
2019*,LSU,SEC,SR,QB,15,402,527,76.3,5671,60,11.4,6,1.1,10.8,12.53,14.1,378.1,202.0,HMaxwellAA
Career,Career,Career,Career,,39,650,945,68.8,8852,78,8.3,11,1.2,9.4,10.49,13.6,227.0,172.4,
,,,,,,,,,,,,,,,,,,,
LSU (2 Yrs),LSU (2 Yrs),LSU (2 Yrs),LSU (2 Yrs),,28,621,906,68.5,8565,76,8.4,11,1.2,9.5,10.58,13.8,305.9,173.2,
Ohio State (2 Yrs),Ohio State (2 Yrs),Ohio State (2 Yrs),Ohio State (2 Yrs),,11,29,39,74.4,287,2,5.1,0,0.0,7.4,8.38,9.9,26.1,153.1,
