Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
2018*,Georgia,SEC,FR,QB,12,27,39,69.2,328,4,10.3,0,0.0,8.4,10.46,12.1,27.3,173.7,
2019*,Ohio State,Big Ten,SO,QB,14,238,354,67.2,3273,41,11.6,3,0.8,9.2,11.18,13.8,233.8,181.4,H-3
2020*,Ohio State,Big Ten,JR,QB,8,158,225,70.2,2100,22,9.8,6,2.7,9.3,10.09,13.3,262.5,175.6,H-7
Career,Career,Career,Career,,34,423,618,68.4,5701,67,10.8,9,1.5,9.2,10.74,13.5,167.7,178.8,
,,,,,,,,,,,,,,,,,,,
Georgia (1 Yr),Georgia (1 Yr),Georgia (1 Yr),Georgia (1 Yr),,12,27,39,69.2,328,4,10.3,0,0.0,8.4,10.46,12.1,27.3,173.7,
Ohio State (2 Yrs),Ohio State (2 Yrs),Ohio State (2 Yrs),Ohio State (2 Yrs),,22,396,579,68.4,5373,63,10.9,9,1.6,9.3,10.76,13.6,244.2,179.1,
