Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
2007*,Florida,SEC,FR,QB,5,5,10,50.0,40,0,0.0,0,0.0,4.0,4.00,8.0,8.0,83.6,
2008*,Florida,SEC,SO,QB,1,1,2,50.0,14,0,0.0,0,0.0,7.0,7.00,14.0,14.0,108.8,
,,,,,,,,,,,,,,,,,,,
2010*,Auburn,SEC,JR,QB,14,185,280,66.1,2854,30,10.7,7,2.5,10.2,11.21,15.4,203.9,182.0,HMaxwellAA
Career,Career,Career,Career,,20,191,292,65.4,2908,30,10.3,7,2.4,10.0,10.93,15.2,145.4,178.2,
,,,,,,,,,,,,,,,,,,,
Auburn (1 Yr),Auburn (1 Yr),Auburn (1 Yr),Auburn (1 Yr),,14,185,280,66.1,2854,30,10.7,7,2.5,10.2,11.21,15.4,203.9,182.0,
Florida (2 Yrs),Florida (2 Yrs),Florida (2 Yrs),Florida (2 Yrs),,6,6,12,50.0,54,0,0.0,0,0.0,4.5,4.50,9.0,9.0,87.8,
