Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
2013*,Texas Tech,Big 12,FR,QB,8,218,340,64.1,2315,12,3.5,9,2.6,6.8,6.32,10.6,289.4,127.7,
,,,,,,,,,,,,,,,,,,,
2015*,Oklahoma,Big 12,SO,QB,13,269,395,68.1,3700,36,9.1,7,1.8,9.4,10.39,13.8,284.6,173.3,H-4
2016*,Oklahoma,Big 12,JR,QB,13,254,358,70.9,3965,40,11.2,8,2.2,11.1,12.30,15.6,305.0,196.4,H-3
2017*,Oklahoma,Big 12,SR,QB,14,285,404,70.5,4627,43,10.6,6,1.5,11.5,12.91,16.2,330.5,198.9,HMaxwellAA
Career,Career,Career,Career,,48,1026,1497,68.5,14607,131,8.8,30,2.0,9.8,10.61,14.2,304.3,175.4,
,,,,,,,,,,,,,,,,,,,
Oklahoma (3 Yrs),Oklahoma (3 Yrs),Oklahoma (3 Yrs),Oklahoma (3 Yrs),,40,808,1157,69.8,12292,119,10.3,21,1.8,10.6,11.86,15.2,307.3,189.4,
Texas Tech (1 Yr),Texas Tech (1 Yr),Texas Tech (1 Yr),Texas Tech (1 Yr),,8,218,340,64.1,2315,12,3.5,9,2.6,6.8,6.32,10.6,289.4,127.7,
